"#symbol","logFC","logCPM","LR","PValue","adj.p"
"FMO3",1.04937049635454,2.10291276172284,3.74481218055941,0.0529716803048627,0.334552035634197
"MYLIP",-1.31515206934277,5.98538194407995,9.64099019658324,0.00190282629978401,0.0391888347951631
"NOX1",-0.141734094928532,1.10558029271778,0.10019377298881,0.751597222707811,1
"PSMB1",-0.16103083254053,6.70549908481018,0.275634613660008,0.599576826156136,1
"SYN1",0.361857466247001,1.25460221992793,0.102960185949871,0.748305804615834,1
"JARID2",0.281420332514096,7.47500485906535,0.716946005490227,0.397147505484471,1
"CDKL5",0.679316740359177,5.06275923462024,3.11464075586989,0.0775915872424975,0.427346706191524
"CAMK1G",-0.0473035484891743,1.10152960921589,0.0326248999738367,0.856662997634648,1
"CDK11A",0.340007346347424,4.88299970626187,0.575925331312547,0.447913907752562,1
"NADK",-1.47425449711297,5.87652702091159,13.8495081987512,0.000198048562359082,0.00854560624742271
"TFAP2B",-0.0473035484891743,1.10152960921589,0.0326248999738367,0.856662997634648,1
"TFAP2D",-0.0986977522234323,1.10383763217057,0.068655227925538,0.793304923199909,1
"DLEC1",0.368827425365636,2.07147034201975,0.364880347050692,0.545808229650163,1
"CYTH3",-0.0539422555782092,4.51018227708923,0.0212845077804911,0.884006560199536,1
"ADAM22",1.39738431642867,3.64552422038986,8.61571508973712,0.00333274929244479,0.0562223829944679
"SYPL1",0.329850989037785,6.28305454422785,1.51099650192982,0.218987091973269,0.800826202588006
"CYB561",-1.23580948239962,4.6672660684143,6.73411726864343,0.0094586026388503,0.11237523275452
"SPAG9",0.735623940315086,7.36304800634486,5.05980514295297,0.0244869910308531,0.207148691357906
"CELSR3",1.8473629536764,4.11367234518693,4.23242123246852,0.0396588272834137,0.279975781105416
"AASS",2.10742116953157,4.63806931958739,21.6298616474596,3.30663489134545e-06,0.000468629025270515
"PLEKHG6",1.42742597224043,1.64101511472397,3.65160014650491,0.0560153702622667,0.346738417676078
"SS18L2",-0.145627657474723,3.94068887844188,0.174216930952347,0.676390961432768,1
"MPND",-0.865689754280958,3.87438240591145,4.71309122899424,0.0299337799142763,0.233998844508739
"MGST1",-2.49939320048538,5.76531901777383,33.7377563940684,6.30647132887955e-09,4.00518767892614e-06
"CRY1",1.24323910600891,4.90061800753407,9.82492278035521,0.00172162928847664,0.0370724903110495
"PGLYRP1",-3.13597869262632,1.82349122388046,6.42147264586678,0.0112748626856784,0.126697921965927
